Time[fs] MSD(O) MSD(Si) VAC(O) VAC(Si) Samples(O) Samples(Si) VAC_trunc(O) VAC_trunc(Si) Jt 
53 24.9925 23.7478 -0.016109 -0.0105909 3072 1536 -0.0108415 -0.0071278 -0.0120724
53.25 25.6329 24.4771 -0.00392534 -0.00977374 3072 1536 -0.00263038 -0.00654941 -0.100494
53.5 25.6331 24.4776 -0.00231853 -0.00935411 3072 1536 -0.00154688 -0.0062409 -0.104721
53.75 25.5894 24.702 -0.00671018 -0.00811739 3072 1536 -0.00445726 -0.005392 -0.0398981
54 25.5895 24.7026 -0.00525007 -0.00855746 3072 1536 -0.00347194 -0.00565915 -0.0500684
54.25 25.5896 24.7031 -0.00381424 -0.00904415 3072 1536 -0.00251115 -0.00595432 -0.0607218
54.5 25.5898 24.7037 -0.00242027 -0.00957656 3072 1536 -0.00158625 -0.00627648 -0.0716814
54.75 25.59 24.7042 -0.00108551 -0.0101519 3072 1536 -0.000708216 -0.00662337 -0.0827726
55 25.5903 24.7048 0.000173222 -0.0107658 3072 1536 0.000112499 -0.00699186 -0.0938202
55.25 25.5905 24.7054 0.0013401 -0.0114131 3072 1536 0.00086632 -0.0073781 -0.10465
55.5 25.5908 24.706 0.00240072 -0.0120874 3072 1536 0.00154475 -0.00777772 -0.11509
55.75 25.5911 24.7065 0.00334211 -0.0127818 3072 1536 0.00214044 -0.00818606 -0.124966
56 25.5914 24.7071 0.00415317 -0.0134893 3072 1536 0.00264733 -0.00859838 -0.13411
56.25 25.5918 24.7077 0.00482475 -0.014202 3072 1536 0.00306079 -0.00900968 -0.142349
56.5 25.5921 24.7083 0.00534969 -0.0149124 3072 1536 0.00337754 -0.009415 -0.14952
56.75 25.5924 24.7089 0.00572308 -0.0156123 3072 1536 0.00359583 -0.00980926 -0.155462
57 25.5928 24.7095 0.00594226 -0.0162933 3072 1536 0.00371536 -0.0101873 -0.160023
57.25 25.5931 24.7101 0.00600712 -0.0169468 3072 1536 0.00373747 -0.0105438 -0.163059
57.5 25.5935 24.7107 0.00591995 -0.0175641 3072 1536 0.00366501 -0.0108739 -0.164437
57.75 25.5378 24.4074 0.00166235 -0.0136877 3072 1536 0.00102401 -0.0084317 -0.157502
58 25.5381 24.4081 0.00143049 -0.0140876 3072 1536 0.000876756 -0.00863437 -0.158692
58.25 25.7562 24.73 -0.000214505 -0.0165174 3072 1536 -0.000130805 -0.0100723 -0.0546189
58.5 24.9548 24.1772 -0.0152569 -0.0349961 3072 1536 -0.00925609 -0.0212315 -0.0314821
58.75 24.9549 24.1781 -0.0146303 -0.0336367 3072 1536 -0.00883019 -0.0203016 -0.0381656
59 24.955 24.1791 -0.013984 -0.0320745 3072 1536 -0.00839627 -0.0192582 -0.044575
59.25 24.9551 24.1801 -0.0133174 -0.0303271 3072 1536 -0.00795413 -0.0181136 -0.0505661
59.5 24.9551 24.1811 -0.01263 -0.028415 3072 1536 -0.00750374 -0.016882 -0.0559972
59.75 24.9552 24.1821 -0.0119219 -0.0263612 3072 1536 -0.00704532 -0.0155784 -0.0607326
60 24.9553 24.1832 -0.0111938 -0.0241905 3072 1536 -0.00657953 -0.0142188 -0.0646484
60.25 24.9554 24.1842 -0.0104473 -0.0219294 3072 1536 -0.00610755 -0.01282 -0.0676343
60.5 24.9554 24.1853 -0.00968543 -0.0196058 3072 1536 -0.00563124 -0.0113991 -0.069596
60.75 24.9555 24.1863 -0.0089124 -0.0172483 3072 1536 -0.00515327 -0.00997319 -0.0704574
61 24.9556 24.1874 -0.00813398 -0.0148856 3072 1536 -0.00467708 -0.00855931 -0.0701625
61.25 24.9557 24.1884 -0.00735717 -0.0125463 3072 1536 -0.00420674 -0.00717384 -0.0686765
61.5 24.9557 24.1894 -0.00659032 -0.0102582 3072 1536 -0.003747 -0.00583242 -0.065984
61.75 24.9558 24.1904 -0.00584277 -0.00804813 3072 1536 -0.00330308 -0.00454982 -0.0620894
62 24.9559 24.1914 -0.00512452 -0.00594141 3072 1536 -0.00288041 -0.00333957 -0.0570134
62.25 24.956 24.1924 -0.00444594 -0.0039614 3072 1536 -0.00248453 -0.00221375 -0.0507926
62.5 24.2523 23.2607 -0.00654148 0.00866258 3072 1536 -0.00363425 0.00481267 -0.0479658
62.75 24.2524 23.2615 -0.00656366 0.0121676 3072 1536 -0.00362512 0.0067202 -0.044684
63 25.8446 24.2134 -0.0109608 0.00854148 3072 1536 -0.00601772 0.00468947 -0.0357451
63.25 25.8451 24.2142 -0.0116835 0.0114805 3072 1536 -0.0063761 0.0062653 -0.0148217
63.5 25.8457 24.215 -0.0124028 0.0142058 3072 1536 -0.00672778 0.0077058 0.00712962
63.75 25.9525 24.2004 -0.0186156 0.00781747 3072 1536 -0.0100364 0.0042147 0.0369299
64 25.9534 24.2011 -0.0193172 0.00905458 3072 1536 -0.0103507 0.00485169 0.0585267
64.25 25.9542 24.2018 -0.0199253 0.010108 3072 1536 -0.0106104 0.00538256 0.0795346
64.5 25.9551 24.2026 -0.020442 0.010963 3072 1536 -0.0108175 0.00580141 0.099652
64.75 25.956 24.2033 -0.0208702 0.011607 3072 1536 -0.0109745 0.00610343 0.118601
65 25.9569 24.2041 -0.0212146 0.012029 3072 1536 -0.0110846 0.00628516 0.136132
65.25 25.9578 24.2049 -0.0214806 0.0122209 3072 1536 -0.0111516 0.00634444 0.152024
65.5 25.9588 24.2057 -0.0216752 0.0121765 3072 1536 -0.0111797 0.00628049 0.166097
65.75 25.9597 24.2064 -0.0218059 0.0118931 3072 1536 -0.0111737 0.00609421 0.178203
66 25.9606 24.2072 -0.0218818 0.0113705 3072 1536 -0.0111387 0.00578805 0.188232
66.25 25.9615 24.2079 -0.0219123 0.0106123 3072 1536 -0.0110801 0.00536617 0.196107
