Time[fs] MSD(Mn) MSD(O) MSD(Y) VAC(Mn) VAC(O) VAC(Y) Samples(Mn) Samples(O) Samples(Y) VAC_trunc(Mn) VAC_trunc(O) VAC_trunc(Y) Jt 
183 0.0027341 0.00291632 0.00328985 0.0292548 0.0321581 -0.0408137 7704 7704 23112 0.0290452 0.0319277 -0.0405213 -0.109066
184.5 0.00273303 0.00291395 0.00329896 0.0281314 0.029927 -0.0471991 7704 7704 23112 0.0279265 0.0297091 -0.0468553 -0.102582
186 0.00273208 0.00291187 0.00330715 0.0267735 0.0291359 -0.0517974 7704 7704 23112 0.0265754 0.0289202 -0.051414 -0.103837
187.5 0.00273108 0.00290992 0.0033142 0.0254632 0.0276276 -0.0540792 7704 7704 23112 0.0252717 0.0274199 -0.0536725 -0.110433
189 0.00273029 0.00290802 0.00331984 0.0252514 0.0257128 -0.0552201 7704 7704 23112 0.0250585 0.0255163 -0.0547982 -0.113871
190.5 0.00272939 0.0029066 0.00332406 0.023271 0.024917 -0.0554721 7704 7704 23112 0.0230903 0.0247236 -0.0550415 -0.113205
192 0.0027285 0.00290513 0.00332723 0.0224979 0.0250677 -0.0526953 7704 7704 23112 0.0223205 0.02487 -0.0522798 -0.116329
193.5 0.00272815 0.00290376 0.00332889 0.0244014 0.0244189 -0.04849 7704 7704 23112 0.024206 0.0242234 -0.0481017 -0.117087
195 0.00272785 0.00290295 0.00332899 0.0256293 0.0231458 -0.0435176 7704 7704 23112 0.0254209 0.0229575 -0.0431637 -0.100864
196.5 0.00272778 0.00290222 0.00332824 0.024885 0.0238803 -0.0372568 7704 7704 23112 0.0246795 0.023683 -0.0369491 -0.0879953
198 0.00272776 0.00290161 0.00332716 0.0229553 0.0247484 -0.0308245 7704 7704 23112 0.0227628 0.0245409 -0.030566 -0.0785424
199.5 0.00272771 0.00290114 0.00332523 0.0218289 0.02517 -0.0243675 7704 7704 23112 0.0216431 0.0249558 -0.02416 -0.0687797
201 0.00272779 0.00290104 0.00332275 0.0202798 0.0265025 -0.0167686 7704 7704 23112 0.0201046 0.0262735 -0.0166237 -0.0571069
202.5 0.00272771 0.00290102 0.00331984 0.0181894 0.0264633 -0.0079866 7704 7704 23112 0.0180299 0.0262312 -0.00791656 -0.0402655
204 0.00272783 0.00290098 0.00331671 0.017056 0.0269205 0.000746796 7704 7704 23112 0.0169042 0.0266809 0.000740149 -0.019839
205.5 0.0027278 0.00290137 0.00331333 0.0161785 0.0292828 0.00849686 7704 7704 23112 0.0160324 0.0290184 0.00842012 -0.00289496
