Freq(meV) DoS(Mn) DoS(O) DoS(Y) DoS(Total) JDoS
41.1 11.4807 12.1316 20.9137 32.9846 8.85638
41.2 11.2891 12.129 21.0103 33.0211 8.70214
41.3 11.1274 12.1679 21.1081 33.0863 8.58394
41.4 11.0037 12.2422 21.208 33.1819 8.48457
41.5 10.923 12.3451 21.3121 33.3097 8.38437
41.6 10.8871 12.4696 21.4237 33.4714 8.26286
41.7 10.8938 12.6088 21.5466 33.6679 8.10032
41.8 10.9376 12.756 21.6845 33.8989 7.87932
41.9 11.0099 12.905 21.8404 34.1621 7.58605
42 11.0996 13.0502 22.0161 34.4531 7.21133
42.1 11.1945 13.1865 22.2113 34.7651 6.75126
42.2 11.2816 13.3095 22.4238 35.089 6.20748
42.3 11.3491 13.4151 22.649 35.4131 5.58703
42.4 11.3864 13.5001 22.8802 35.7247 4.90192
42.5 11.3855 13.5613 23.1088 36.0097 4.16834
42.6 11.3417 13.5964 23.3252 36.2543 3.40578
42.7 11.2533 13.603 23.5195 36.4457 2.63599
42.8 11.1219 13.5796 23.682 36.5729 1.88204
42.9 10.9524 13.5251 23.8045 36.6277 1.16745
43 10.7518 13.4388 23.8806 36.6053 0.515493
43.1 10.5289 13.321 23.9063 36.5045 -0.0512576
43.2 10.2933 13.1724 23.8806 36.3284 -0.511198
43.3 10.0546 12.9949 23.8056 36.0835 -0.843769
43.4 9.82146 12.791 23.686 35.7795 -1.02944
43.5 9.60126 12.5643 23.5291 35.429 -1.04967
43.6 9.39935 12.3194 23.344 35.0462 -0.887009
43.7 9.21903 12.0616 23.1412 34.6464 -0.525343
43.8 9.06156 11.7971 22.9315 34.245 0.049508
43.9 8.92641 11.5328 22.7258 33.8567 0.848872
44 8.81171 11.276 22.534 33.495 1.87995
44.1 8.71475 11.0344 22.365 33.172 3.14421
44.2 8.63262 10.8155 22.2257 32.8974 4.63563
44.3 8.56267 10.6269 22.1216 32.6793 6.33883
44.4 8.50299 10.4754 22.0563 32.5239 8.22744
44.5 8.45265 10.3669 22.0319 32.4353 10.2628
44.6 8.4118 10.3062 22.049 32.4161 12.3934
44.7 8.38157 10.2967 22.1071 32.4674 14.5551
44.8 8.36374 10.3397 22.2046 32.5888 16.6723
44.9 8.3604 10.435 22.3394 32.7783 18.6605
45 8.37335 10.5799 22.5086 33.0326 20.4299
45.1 8.40369 10.7696 22.7089 33.3461 21.8896
45.2 8.4513 10.9974 22.9362 33.7118 22.9537
45.3 8.51453 11.2542 23.186 34.1203 23.5467
45.4 8.59004 11.5296 23.4528 34.56 23.6098
45.5 8.67282 11.8118 23.7305 35.0177 23.1066
45.6 8.75644 12.0881 24.0125 35.4783 22.0281
45.7 8.83346 12.3457 24.2916 35.9259 20.3959
45.8 8.89602 12.5721 24.5606 36.3446 18.2645
45.9 8.93649 12.7559 24.8128 36.7193 15.7208
46 8.94815 12.8874 25.0424 37.0371 12.8817
46.1 8.92585 12.9592 25.2452 37.2884 9.88985
46.2 8.8665 12.9665 25.4194 37.468 6.90622
46.3 8.76941 12.9073 25.5656 37.5759 4.10233
46.4 8.63643 12.7831 25.6879 37.6178 1.65031
46.5 8.47183 12.598 25.7931 37.6047 -0.287294
46.6 8.28194 12.3593 25.8911 37.5533 -1.5676
46.7 8.07466 12.0762 25.994 37.484 -2.07674
46.8 7.85876 11.7602 26.1154 37.4199 -1.7376
46.9 7.64311 11.4235 26.2689 37.3848 -0.515416
47 7.43599 11.0789 26.4669 37.401 1.57914
47.1 7.2443 10.7385 26.7195 37.4872 4.48984
47.2 7.07313 10.4135 27.0325 37.6563 8.11766
47.3 6.9253 10.1134 27.4065 37.9138 12.3263
47.4 6.80129 9.84532 27.8363 38.2566 16.9502
47.5 6.69934 9.61398 28.3102 38.6724 21.8041
47.6 6.6157 9.42151 28.8105 39.1402 26.6941
